ingredient_name,effect_name,magnitude,duration,order
Nordic Barnacle,Gradual Restore Health,"7,00",4200,3
Nordic Barnacle,Undying Breath,"4,00",60,4
Orange Dartwing,Etiolating Oil,"18,00",30,1
Orange Dartwing,Fortify Dexterity,"5,00",60,2
Orange Dartwing,Lingering Damage Health,"2,00",30,3
Orange Dartwing,Recuperation,"16,00",30,4
Pearl,Fortify Block,"5,00",180,1
Pearl,Magicka,"43,00",15,2
Pearl,Recuperation,"20,00",30,3
Pearl,Resist Shock,"4,00",240,4
Pine Thrush Egg,Fortify Lockpicking,"0,42",30,1
Pine Thrush Egg,Recuperation,"16,00",30,2
Pine Thrush Egg,Resist Shock,"4,00",240,3
Pine Thrush Egg,Weakness to Poison Oil,"6,00",30,4
Poisonous Bloom,Damage Health,"14,00",1,1
Poisonous Bloom,Fear,"7,00",10,2
Poisonous Bloom,Fortify Carry Weight,"8,00",600,3
Poisonous Bloom,Tardiness,"50,00",5,4
Powdered Mammoth Tusk,Fear,"7,00",10,1
Powdered Mammoth Tusk,Fortify Sneak,"3,00",600,2
Powdered Mammoth Tusk,Fortify Unarmed,"5,00",180,3
Powdered Mammoth Tusk,Recuperation,"20,00",30,4
Purple Mountain Flower,Fortify Sneak,"3,00",600,1
Purple Mountain Flower,Recuperation,"16,00",30,2
Purple Mountain Flower,Resist Frost,"4,00",240,3
Purple Mountain Flower,Shocking Oil,"10,50",15,4
Red Glitterdust,Chilling Oil,"24,25",15,1
Red Glitterdust,Damage Health,"18,00",0,2
Red Glitterdust,Fortify Carry Weight,"8,00",600,3
Red Glitterdust,Magicka,"54,00",15,4
Red Mountain Flower,Damage Health,"7,00",1,1
Red Mountain Flower,Etiolating Oil,"13,50",30,2
Red Mountain Flower,Fortify Magicka,"6,40",600,3
Red Mountain Flower,Magicka,"40,00",15,4
River Betty,Damage Health,"12,00",0,1
River Betty,Fortify Alteration,"4,00",180,2
River Betty,Fortify Carry Weight,"8,00",600,3
River Betty,Tardiness,"50,00",5,4
Rock Warbler Egg,Chilling Oil,"14,00",15,1
Rock Warbler Egg,Fortify One-Handed,"3,75",180,2
Rock Warbler Egg,Healing,"100,00",20,3
Rock Warbler Egg,Magic Weakness Oil,"16,00",10,4
Sabre Cat Eye,Burning Oil,"14,00",15,1
Sabre Cat Eye,Damage Maximum Health,"8,00",30,2
Sabre Cat Eye,Healing,"100,00",20,3
Sabre Cat Eye,Recuperation,"16,00",30,4
Sabre Cat Heart,Damage Maximum Health,"8,00",30,1
Sabre Cat Heart,Impairment,"2,25",20,2
Sabre Cat Heart,Shocking Oil,"14,00",15,3
Sabre Cat Heart,Soul Trap Oil,"0,00",4,4
Sabre Cat Tooth,Fortify Stamina,"6,40",600,1
Sabre Cat Tooth,Recuperation,"16,00",30,2
Sabre Cat Tooth,Resist Projectiles,"3,00",180,3
Sabre Cat Tooth,Weakness to Poison Oil,"6,00",30,4
Salmon Roe,Fortify Magicka,"6,40",600,1
Salmon Roe,Gradual Regenerate Magicka,"5,00",4200,2
Salmon Roe,Recuperation,"16,00",30,3
Salmon Roe,Undying Breath,"4,00",75,4
Salt Pile,Fortify Restoration,"4,00",180,1
Salt Pile,Gradual Regenerate Magicka,"5,00",4200,2
Salt Pile,Magic Weakness Oil,"16,00",10,3
Salt Pile,Tardiness,"50,00",5,4
Scaly Pholiota,Fortify Carry Weight,"8,00",600,1
Scaly Pholiota,Fortify Illusion,"4,00",180,2
Scaly Pholiota,Gradual Restore Stamina,"19,00",4200,3
Scaly Pholiota,Magic Weakness Oil,"16,00",10,4
Scathecraw,Damage Maximum Health,"10,00",30,1
Scathecraw,Etiolating Oil,"18,00",30,2
Scathecraw,Lingering Damage Health,"2,50",30,3
Scathecraw,Soul Trap Oil,"0,00",3,4
Silverside Perch,Damage Maximum Health,"10,00",30,1
Silverside Perch,Recuperation,"16,00",30,2
Silverside Perch,Resist Frost,"3,00",60,3
Silverside Perch,Vulnerability,"12,00",30,4
Skeever Tail,Damage Health,"12,00",1,1
Skeever Tail,Damage Maximum Health,"8,00",30,2
Skeever Tail,Resist Projectiles,"3,00",180,3
Skeever Tail,Vulnerability,"12,00",30,4
Slaughterfish Egg,Constitution,"8,00",300,1
Slaughterfish Egg,Fortify Dexterity,"5,00",60,2
Slaughterfish Egg,Fortify Stamina,"6,40",600,3
Slaughterfish Egg,Lingering Damage Health,"2,50",30,4
Slaughterfish Scales,Fortify Block,"5,00",180,1
Slaughterfish Scales,Lingering Damage Health,"2,00",30,2
Slaughterfish Scales,Resist Frost,"4,00",240,3
Slaughterfish Scales,Resist Projectiles,"3,60",180,4
Small Antlers,Arcane Oil,"17,50",15,1
Small Antlers,Damage Health,"12,00",1,2
Small Antlers,Fortify Restoration,"4,00",180,3
Small Antlers,Weakness to Poison Oil,"1,00",30,4
Small Pearl,Fortify One-Handed,"3,75",180,1
Small Pearl,Fortify Restoration,"4,00",180,2
Small Pearl,Recuperation,"16,00",30,3
Small Pearl,Resist Frost,"4,00",240,4
Snowberries,Gradual Restore Stamina,"16,00",4200,1
Snowberries,Resist Fire,"4,00",240,2
Snowberries,Resist Frost,"4,00",240,3
Snowberries,Resist Shock,"4,00",240,4
Spawn Ash,Etiolating Oil,"22,50",30,1
Spawn Ash,Fortify Illusion,"4,00",180,2
Spawn Ash,Resist Fire,"4,00",240,3
Spawn Ash,Soul Trap Oil,"0,00",2,4
Spider Egg,Chilling Oil,"17,50",15,1
Spider Egg,Fortify Lockpicking,"0,40",30,2
Spider Egg,Fortify Marksman,"3,75",180,3
Spider Egg,Impairment,"1,75",20,4
Spriggan Sap,Fortify Alteration,"4,00",180,1
Spriggan Sap,Fortify Illusion,"3,00",60,2
Spriggan Sap,Fortify Restoration,"3,00",60,3
Spriggan Sap,Impairment,"2,25",20,4
Strange Remains,Fortify Destruction,"4,50",300,1
Strange Remains,Invisibility,"0,00",60,2
Strange Remains,Resist Shock,"4,80",240,3
Strange Remains,Soul Trap Oil,"0,00",10,4
Swamp Fungal Pod,Damage Health,"13,00",1,1
Swamp Fungal Pod,Healing,"110,00",20,2
Swamp Fungal Pod,Resist Shock,"4,00",240,3
Swamp Fungal Pod,Shocking Oil,"17,50",15,4
Taproot,Fortify Illusion,"4,00",180,1
Taproot,Gradual Regenerate Magicka,"6,00",4200,2
Taproot,Magic Weakness Oil,"16,00",10,3
Taproot,Magicka,"48,00",15,4
Thistle Branch,Constitution,"8,00",300,1
Thistle Branch,Resist Frost,"4,00",240,2
Thistle Branch,Resist Projectiles,"3,00",180,3
Thistle Branch,Soul Trap Oil,"0,00",4,4
Torchbug Thorax,Fortify Stamina,"6,40",600,1
Torchbug Thorax,Magic Weakness Oil,"16,00",10,2
Torchbug Thorax,Recuperation,"16,00",30,3
Torchbug Thorax,Shocking Oil,"17,50",15,4
Trama Root,Burning Oil,"17,50",15,1
Trama Root,Fortify Carry Weight,"8,00",600,2
Trama Root,Tardiness,"50,00",5,3
Trama Root,Weakness to Shock,"24,00",10,4
Troll Fat,Constitution,"8,00",300,1
Troll Fat,Damage Health,"12,00",1,2
Troll Fat,Fortify Two-Handed,"3,75",180,3
Troll Fat,Frenzy,"11,00",10,4
Tundra Cotton,Fortify Barter,"2,00",30,1
Tundra Cotton,Fortify Block,"5,00",180,2
Tundra Cotton,Fortify Magicka,"6,40",600,3
Tundra Cotton,Resist Magic,"2,80",180,4
Vampire Dust,Cleansing,"5,00",0,1
Vampire Dust,Fortify Unarmed,"5,00",180,2
Vampire Dust,Invisibility,"0,00",20,3
Vampire Dust,Soul Trap Oil,"0,00",7,4
Venomous Spittle,Arcane Oil,"20,75",15,1
Venomous Spittle,Damage Health,"18,00",1,2
Venomous Spittle,Lingering Damage Health,"2,50",30,3
Venomous Spittle,Paralysis,"0,00",1,4
Void Salts,Fortify Magicka,"8,00",600,1
Void Salts,Resist Magic,"3,20",300,2
Void Salts,Resist Shock,"6,00",300,3
Void Salts,Weakness to Shock,"32,00",10,4
Wheat,Fortify Health,"3,20",600,1
Wheat,Healing,"100,00",20,2
Wheat,Shocking Oil,"14,00",15,3
Wheat,Vulnerability,"12,00",30,4
White Cap,Etiolating Oil,"22,50",30,1
White Cap,Magicka,"45,00",15,2
White Cap,Resist Projectiles,"3,00",180,3
White Cap,Weakness to Frost,"10,00",10,4
Wisp Wrappings,Fortify Carry Weight,"8,00",600,1
Wisp Wrappings,Fortify Destruction,"4,00",180,2
Wisp Wrappings,Resist Magic,"3,60",180,3
Wisp Wrappings,Soul Trap Oil,"0,00",5,4
Wolf Heart,Burning Oil,"17,50",15,1
Wolf Heart,Chilling Oil,"14,00",15,2
Wolf Heart,Damage Health,"10,00",1,3
Wolf Heart,Frenzy,"11,00",10,4
Yellow Mountain Flower,Constitution,"8,00",300,1
Yellow Mountain Flower,Fortify Health,"4,80",600,2
Yellow Mountain Flower,Fortify Restoration,"4,00",180,3
Yellow Mountain Flower,Vulnerability,"12,00",30,4
